"id","edad","sex","tipouni","perfil","exed","acreedu","exin","acreinv","grupoinv","nart","autprin","njcr","nh1","nh2","nh5","nh3","nh4","pubnohh","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","priorpub","util","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","mp1","mp2","mp3","mp4","mp5","mp6","mp7","mp8","mp9","mp10","mp11","mp12","mp13","mp14","mp15","mp16","mp17","mp18","mp19","mp20","mp21","mp22","mp23","mp24","mp25","mp26","mp27","mp28","otro","pais.r","area.r"
1,55,"Mujer","Privada","Personal de investigación",10,0,30,1,1,102,15,98,0,0,0,0,1,"Sí",0,0,1,0,1,1,0,1,0,0,"Descubrir","Conocimiento",0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","España","Ciencias de la vida y médicas"
2,34,"Mujer","Privada","Personal docente e investigador",3,1,8,1,1,18,6,17,0,1,0,0,0,"No lo tengo claro",0,0,0,0,0,0,0,0,0,1,"Descubrir","Aplicabilidad",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias de la vida y médicas"
3,55,"Mujer","Privada","Personal docente e investigador",25,1,25,1,1,32,10,32,0,1,0,0,0,"No lo tengo claro",0,0,0,1,1,1,1,1,0,1,"Descubrir","Aplicabilidad",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,"","España","Ciencias naturales e ingeniería"
4,31,"Hombre","Pública","Personal docente e investigador",6,1,8,1,1,56,10,56,0,0,0,0,1,"Sí",0,0,1,0,0,0,0,0,0,0,"Requisitos","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","España","Ciencias de la vida y médicas"
5,40,"Mujer","Pública","Personal docente e investigador",12,1,15,1,1,39,17,37,0,0,1,0,0,"No lo tengo claro",0,0,1,0,1,1,1,1,0,1,"Difundir","Aplicabilidad",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,"Nada que añadir","España","Ciencias naturales e ingeniería"
6,49,"Hombre","Pública","Personal docente e investigador",15,1,15,1,1,95,55,95,1,0,0,0,0,"Sí",0,0,0,1,0,1,1,0,0,1,"Resolver","Aplicabilidad",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"La formación de postgrado (PhD) en Espana esta devaluada en Europa. Los grados no los respetan y los consideran de baja calidad. La universidad espanola es endogamica, corrupta y mediocre. Tenemos que llevar a cabo reformas estructurales y radicales. Yo estoy acreditado como titular y me dan los buenos dias una y otra vez porque los enchufados estan en linea esperando su oportunidad de pillar cacho y tienen prioridad. No os creais que la UGR tiene prestigio, fuera de Spain no saben ni que es. Animo que los que estais en academia lo estais haciendo muy bien para las generaciones futuras. Muchas gracias","España","Ciencias de la vida y médicas"
7,49,"Hombre","Pública","Personal de investigación",0,1,23,1,1,141,53,141,0,0,1,0,0,"No lo tengo claro",0,0,1,0,0,1,0,1,1,0,"Descubrir","Conocimiento",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,"","España","Ciencias naturales e ingeniería"
8,62,"Hombre","Pública",NA,31,1,31,0,1,410,140,370,0,1,0,0,0,"No",0,0,0,0,0,1,1,0,1,0,"Descubrir","Conocimiento",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,"","España","Ciencias de la vida y médicas"
10,56,"Mujer","Pública","Personal de investigación",2,0,34,1,1,70,10,70,1,0,1,0,1,"Sí",0,0,0,1,0,1,0,0,1,1,"Descubrir","Conocimiento",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,"","España","Ciencias de la vida y médicas"
11,53,"Mujer","Pública","Personal docente e investigador",26,1,26,1,1,36,4,27,1,0,0,0,0,"Sí",0,0,0,0,1,1,1,0,0,1,"Resolver","Aplicabilidad",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,"","España","Ciencias naturales e ingeniería"
12,46,"Mujer","Pública","Personal de investigación",1,1,23,1,1,100,30,89,0,0,1,0,0,"No lo tengo claro",0,0,1,1,0,1,0,1,1,0,"Descubrir","Conocimiento",0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,"","España","Ciencias naturales e ingeniería"
13,38,"Hombre","Pública","Personal docente e investigador",7,1,14,1,1,38,10,38,1,0,0,0,0,"Sí",0,0,1,0,0,1,1,0,0,1,"Descubrir","Conocimiento",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,"","España","Ciencias naturales e ingeniería"
14,55,"Mujer","Pública","Personal docente e investigador",20,1,20,1,1,14,8,5,1,0,0,0,0,"Sí",0,0,0,1,0,1,1,0,0,1,"Descubrir","Aplicabilidad",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,"","España","Ciencias naturales e ingeniería"
15,47,"Mujer","Privada","Personal docente e investigador",7,1,7,1,1,30,21,9,0,1,0,0,0,"Sí",0,0,1,0,1,0,1,1,0,1,"Descubrir","Aplicabilidad",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,"Muy interesante el estudio, enhorabuena. No obstante las realidades departamentales, básicamente en las públicas están demasiado sujetas a las jerarquías de Catedráticos con mucho afán de sumar mucho y hacer poco (he tenido experiencia en públicas durante el doctorado y pos doc y lo he visto en primera persona). Demasiados catedráticos\as que accedieron a su condición sin cumplir todos los requisitos que ahora marca la ANECA para ese rango. No es juego limpio.","España","Ciencias sociales y del comportamiento"
17,33,"Hombre","Pública","Personal docente e investigador",5,1,6,1,1,14,8,14,0,1,0,0,0,"No lo tengo claro",0,0,1,1,1,1,1,1,1,1,"Requisitos","Aplicabilidad",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"","España","Ciencias naturales e ingeniería"
19,67,"Mujer","Pública","Personal docente e investigador",43,1,43,1,1,212,100,115,0,1,0,0,0,"No",0,0,0,0,0,1,1,0,0,1,"Resolver","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias naturales e ingeniería"
20,39,"Hombre","Pública","Personal docente e investigador",16,1,10,1,1,93,73,30,1,0,0,0,0,"Sí",0,0,1,0,1,0,1,0,0,0,"Difundir","Conocimiento",0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"","España","Ciencias sociales y del comportamiento"
21,42,"Mujer","Pública","Personal docente e investigador",13,1,1,1,1,10,4,5,0,0,1,0,0,"No lo tengo claro",0,0,0,0,1,1,0,1,0,1,"Resolver","Conocimiento",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias sociales y del comportamiento"
22,47,"Hombre","Pública","Personal docente e investigador",17,1,17,1,1,50,15,47,1,0,0,0,0,"No",0,0,1,0,1,0,0,0,0,0,"Requisitos","Aplicabilidad",0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Hay tanto que arreglar en el mundo universitario. Es penosa la situación actual. La motivación de los profesores. La exigencia desmesurada de investigación que de una forma clara y nítida hace que desprecies el trabajo docente y la atención a los alumnos. Etc.

Espero que lleguéis a algún lado con el estudio. La tendencia nacional es ir a peor.
","España","Ciencias naturales e ingeniería"
23,40,"Hombre","Pública","Estudiante de doctorado",18,1,15,1,1,28,19,8,1,0,0,0,0,"Sí",0,1,1,0,0,1,1,1,1,1,"Descubrir","Aplicabilidad",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,"","Otro",NA
24,29,"Hombre","Pública","Estudiante de doctorado",3,1,4,1,1,9,4,8,1,0,0,0,0,"Sí",0,0,0,1,0,1,0,0,0,1,"Descubrir","Conocimiento",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Otro","Ciencias naturales e ingeniería"
25,51,"Hombre","Pública","Personal de investigación",0,0,26,1,1,82,31,80,1,0,0,0,0,"Sí",0,0,1,0,0,1,0,0,0,0,"Descubrir","Conocimiento",0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,"Las instituciones nos obligan a publicar resultados como fin de la investigación, no como medio para divulgarla. Sólo importa cuánto publicas y el índice de impacto de las revistas, no lo que se contribuye al campo. Si no publicas no consigues subvenciones, si no obtienes subvenciones no investigas, si no investigas, no publicas. Es un círculo vicioso. Alguien debería plantearse la forma de evaluar la investigación, más allá de ser meras ""fábricas de publicaciones""","España","Ciencias de la vida y médicas"
27,34,"Hombre","Pública","Personal docente e investigador",7,1,7,0,1,15,8,15,0,1,0,0,0,"Sí",0,0,0,0,0,1,1,0,0,0,"Difundir","Aplicabilidad",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias naturales e ingeniería"
29,50,"Hombre","Pública","Personal docente e investigador",21,1,16,1,1,33,10,33,0,1,0,0,0,"No",0,0,1,0,1,0,1,0,0,0,"Difundir","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,"","España","Ciencias naturales e ingeniería"
30,42,"Mujer","Pública","Personal docente e investigador",10,1,15,1,1,36,12,36,1,0,0,0,0,"Sí",0,0,0,0,0,0,1,0,0,0,"Resolver","Aplicabilidad",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,"","Otro","Ciencias naturales e ingeniería"
31,38,"Hombre","Pública","Personal docente e investigador",11,1,11,1,1,81,27,47,1,0,0,0,0,"Sí",0,0,0,0,0,1,1,0,0,1,"Descubrir","Conocimiento",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"","España","Ciencias sociales y del comportamiento"
32,39,"Mujer","Pública","Personal de investigación",0,1,16,1,1,68,31,68,1,0,0,0,0,"Sí",0,0,0,0,0,0,1,1,0,0,"Descubrir","Conocimiento",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,"","España","Ciencias de la vida y médicas"
