"id,""submitdate"",""lastpage"",""startlanguage"",""seed"",""startdate"",""datestamp"",""edad"",""sex"",""pais"",""tipouni"",""perfil"",""exed"",""area"",""acreedu"",""exin"",""acreinv"",""grupoinv"",""nart"",""autprin"",""njcr"",""envnohh[SQ001]"",""envnohh[SQ002]"",""envnohh[SQ005]"",""envnohh[SQ003]"",""envnohh[SQ004]"",""pubnohh"",""mot[SQ001]"",""mot[SQ002]"",""mot[SQ003]"",""mot[SQ004]"",""mot[SQ005]"",""mot[SQ006]"",""mot[SQ007]"",""mot[SQ008]"",""mot[SQ009]"",""mot[SQ010]"",""priorpub"",""util"",""pract[SQ001]"",""pract[SQ002]"",""pract[SQ003]"",""pract[SQ004]"",""pract[SQ005]"",""pract[SQ006]"",""pract[SQ007]"",""pract[SQ008]"",""pract[SQ009]"",""pract[SQ010]"",""pract[SQ011]"",""pract[SQ012]"",""pract[SQ013]"",""pract[SQ014]"",""pract[SQ015]"",""pract[SQ016]"",""pract[SQ017]"",""pract[SQ018]"",""pract[SQ019]"",""pract[SQ020]"",""pract[SQ021]"",""pract[SQ022]"",""pract[SQ023]"",""pract[SQ024]"",""pract[SQ025]"",""pract[SQ026]"",""pract[SQ027]"",""pract[SQ028]"",""malaspr[SQ001]"",""malaspr[SQ002]"",""malaspr[SQ003]"",""malaspr[SQ004]"",""malaspr[SQ005]"",""malaspr[SQ006]"",""malaspr[SQ007]"",""malaspr[SQ008]"",""malaspr[SQ009]"",""malaspr[SQ010]"",""malaspr[SQ011]"",""malaspr[SQ012]"",""malaspr[SQ013]"",""malaspr[SQ014]"",""malaspr[SQ015]"",""malaspr[SQ016]"",""malaspr[SQ017]"",""malaspr[SQ018]"",""malaspr[SQ019]"",""malaspr[SQ020]"",""malaspr[SQ021]"",""malaspr[SQ022]"",""malaspr[SQ023]"",""malaspr[SQ024]"",""malaspr[SQ025]"",""malaspr[SQ026]"",""malaspr[SQ027]"",""malaspr[SQ028]"",""otro"",""interviewtime"",""groupTime6820"",""edadTime"",""sexTime"",""paisTime"",""tipouniTime"",""perfilTime"",""exedTime"",""areaTime"",""acreeduTime"",""exinTime"",""acreinvTime"",""grupoinvTime"",""nartTime"",""autprinTime"",""njcrTime"",""groupTime7823"",""envnohhTime"",""pubnohhTime"",""motTime"",""priorpubTime"",""utilTime"",""practTime"",""malasprTime"",""otroTime""";
"1,""2022-02-09 09:40:32"",""22"",""es"",""1222853247"",""2022-02-09 09:27:16"",""2022-02-09 09:40:32"",""55"",""0"",""A57"",""A2"",""A2"",""10"",""A18"",""2"",""30"",""1"",""1"",""102"",""15"",""98"",""2"",""2"",""2"",""2"",""1"",""A1"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""2"",""A3"",""A2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"","""",""804.02"","""",""48.8"",""5.58"",""12.11"",""10.5"",""19.08"",""26.12"",""24.03"",""10.17"",""18.68"",""7.15"",""4.88"",""54.01"",""98.62"",""97.01"","""",""23.52"",""9.5"",""60.33"",""18.61"",""9.39"",""142.17"",""97.99"",""5.77""";
"2,""2022-02-09 09:37:32"",""22"",""es"",""841193096"",""2022-02-09 09:27:50"",""2022-02-09 09:37:32"",""34"",""0"",""A57"",""A2"",""A3"",""3"",""A3"",""1"",""8"",""1"",""1"",""18"",""6"",""17"",""2"",""1"",""2"",""2"",""2"",""A3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""A3"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""582.4"","""",""6.32"",""4.5"",""8.79"",""15.17"",""10.92"",""35.18"",""6.8"",""7.03"",""16.7"",""12.43"",""5.07"",""19.62"",""27.63"",""12.5"","""",""26.28"",""11.61"",""28.09"",""28.83"",""10.93"",""148.83"",""117.12"",""22.05""";
"3,""2022-02-09 09:40:23"",""22"",""es"",""1032404335"",""2022-02-09 09:28:43"",""2022-02-09 09:40:23"",""55"",""0"",""A57"",""A2"",""A3"",""25"",""A26"",""1"",""25"",""1"",""1"",""32"",""10"",""32"",""2"",""1"",""2"",""2"",""2"",""A3"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""A3"",""A1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"","""",""709.13"","""",""7.45"",""5.1"",""8.14"",""6.13"",""7.92"",""10.23"",""18.99"",""9.22"",""7.32"",""4.61"",""5.62"",""11.6"",""30.46"",""8.71"","""",""35.1"",""27.96"",""36.83"",""46.2"",""9.51"",""214.7"",""192.2"",""5.13""";
"4,""2022-02-09 09:35:15"",""22"",""es"",""402003862"",""2022-02-09 09:28:57"",""2022-02-09 09:35:15"",""31"",""1"",""A57"",""A1"",""A3"",""6"",""A22"",""1"",""8"",""1"",""1"",""56"",""10"",""56"",""2"",""2"",""2"",""2"",""1"",""A1"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""A4"",""A1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"","""",""387.8"","""",""6.9"",""4.3"",""6.74"",""5.47"",""8.59"",""11.15"",""29.1"",""4.6"",""12.19"",""18.73"",""5.18"",""5.15"",""5.54"",""5.63"","""",""15.52"",""8.75"",""28.49"",""10.88"",""13.33"",""170.23"",""3.17"",""8.16""";
"5,""2022-02-09 09:39:34"",""22"",""es"",""322572525"",""2022-02-09 09:29:28"",""2022-02-09 09:39:34"",""40"",""0"",""A57"",""A1"",""A3"",""12"",""A16"",""1"",""15"",""1"",""1"",""39"",""17"",""37"",""2"",""2"",""1"",""2"",""2"",""A3"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""A1"",""A1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""Nada que añadir"",""613.34"","""",""9.21"",""3.05"",""14.26"",""5.68"",""7.11"",""25.1"",""8.86"",""7.25"",""22.19"",""5.02"",""3.18"",""19.67"",""22.69"",""15.08"","""",""26.89"",""19.38"",""33.13"",""38.61"",""11.06"",""131.12"",""168.57"",""16.23""";
"6,""2022-02-09 09:39:04"",""22"",""es"",""490164157"",""2022-02-09 09:29:44"",""2022-02-09 09:39:04"",""49"",""1"",""A57"",""A1"",""A3"",""15"",""A24"",""1"",""15"",""1"",""1"",""95"",""55"",""95"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""A2"",""A1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""La formación de postgrado (PhD) en Espana esta devaluada en Europa. Los grados no los respetan y los consideran de baja calidad. La universidad espanola es endogamica, corrupta y mediocre. Tenemos que llevar a cabo reformas estructurales y radicales. Yo estoy acreditado como titular y me dan los buenos dias una y otra vez porque los enchufados estan en linea esperando su oportunidad de pillar cacho y tienen prioridad. No os creais que la UGR tiene prestigio, fuera de Spain no saben ni que es. Animo que los que estais en academia lo estais haciendo muy bien para las generaciones futuras. Muchas gracias"",""573.47"","""",""7.93"",""4.93"",""26.36"",""4.58"",""6.87"",""9.99"",""23.62"",""7.3"",""5.74"",""4.93"",""4.56"",""6.96"",""8.23"",""6.85"","""",""25.28"",""13.43"",""32.57"",""15.17"",""6.97"",""51.89"",""81.91"",""217.4""";
"7,""2022-02-09 09:41:16"",""22"",""es"",""1128182287"",""2022-02-09 09:29:46"",""2022-02-09 09:41:16"",""49"",""1"",""A57"",""A1"",""A2"",""0"",""A5"",""1"",""23"",""1"",""1"",""141"",""53"",""141"",""2"",""2"",""1"",""2"",""2"",""A3"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""A3"",""A2"",""2"",""1"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""2"","""",""701.38"","""",""9.08"",""4.37"",""7.85"",""4.73"",""7.77"",""9.31"",""21.73"",""12.4"",""39.65"",""9.46"",""4.71"",""50.88"",""124"",""9.16"","""",""16.3"",""15.77"",""45.04"",""20.54"",""9.79"",""145.5"",""126.97"",""6.37""";
"8,""2022-02-09 09:39:34"",""22"",""es"",""950904558"",""2022-02-09 09:30:00"",""2022-02-09 09:39:33"",""62"",""1"",""A57"",""A1"","""",""31"",""A20"",""1"",""31"",""2"",""1"",""410"",""140"",""370"",""2"",""1"",""2"",""2"",""2"",""A2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""A3"",""A2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""2"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""2"",""1"",""1"","""",""582.77"","""",""10.22"",""4.45"",""17.46"",""8.45"",""19.12"",""10.12"",""16.01"",""10.51"",""10.88"",""11.22"",""6.11"",""10.53"",""23.3"",""16.64"","""",""21.73"",""19.04"",""36.95"",""29.74"",""11.22"",""147.55"",""132.53"",""8.99""";
"10,""2022-02-09 09:38:23"",""22"",""es"",""92452780"",""2022-02-09 09:30:24"",""2022-02-09 09:38:23"",""56"",""0"",""A57"",""A1"",""A2"",""2"",""A18"",""2"",""34"",""1"",""1"",""70"",""10"",""70"",""1"",""2"",""1"",""2"",""1"",""A1"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""1"",""1"",""A3"",""A2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""2"",""1"","""",""490.81"","""",""7.34"",""3.83"",""10"",""4.5"",""7.88"",""14.63"",""27.72"",""5.93"",""14.88"",""5.51"",""4.83"",""7.14"",""64.97"",""11.49"","""",""40.57"",""22.03"",""26.23"",""9.85"",""6.45"",""87.07"",""104.06"",""3.9""";
"11,""2022-02-09 09:44:25"",""22"",""es"",""544805297"",""2022-02-09 09:31:10"",""2022-02-09 09:44:25"",""53"",""0"",""A57"",""A1"",""A3"",""26"",""A16"",""1"",""26"",""1"",""1"",""36"",""4"",""27"",""1"",""2"",""2"",""2"",""2"",""A1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""2"",""2"",""1"",""A2"",""A1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""1"",""1"",""2"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""2"",""1"","""",""803.72"","""",""12.01"",""3.65"",""14.29"",""6.25"",""9.62"",""43.06"",""9.95"",""7.3"",""8.78"",""11.04"",""4.85"",""54.04"",""26.57"",""8.74"","""",""53.56"",""10.54"",""42.03"",""26.49"",""13.19"",""312.12"",""120.45"",""5.19""";
