    from  to strength direction
2     p3  p5    0.891 0.5095398
4     p3  p8    0.936 0.5614316
7     p3 p13    1.000 0.5870000
13    p4  p6    0.990 0.6060606
47    p8 p13    1.000 0.5100000
51   p11  p3    0.998 0.5135271
53   p11  p5    0.918 0.5413943
55   p11  p8    0.961 0.5827263
57   p11 p13    0.972 0.5992798
61   p12  p3    0.984 0.5015244
84   p15  p6    0.973 0.5303186
95   p17  p8    0.876 0.5764840
97   p17 p12    0.991 0.5050454
99   p17 p15    0.954 0.6666667
103  p19  p5    0.876 0.5587900
104  p19  p6    0.998 0.5090180
