    from  to strength direction
23    p3  p8    0.916 0.5644105
27    p3 p12    0.974 0.5328542
28    p3 p13    1.000 0.5910000
40    p4  p6    0.981 0.5632008
56    p5  p3    0.861 0.5098722
86    p6 p19    0.996 0.5567269
100   p8 p13    1.000 0.5310000
146  p11  p3    0.998 0.5210421
148  p11  p5    0.913 0.5383352
150  p11  p8    0.952 0.5677521
154  p11 p13    0.969 0.6150671
203  p15  p6    0.964 0.5171162
226  p17 p12    0.984 0.5203252
228  p17 p15    0.911 0.6822173
256  p19  p5    0.878 0.5375854
323  p26 p23    0.857 0.5519253
332  p28 p10    0.950 0.5436842
