"pci";"Prevalencia";"IC95._inf";"IC95._sup"
"p1";1.83;1.19;2.78
"p2";20.1;17.93;22.44
"p3";1.67;1.07;2.59
"p4";22.33;20.07;24.76
"p5";8.13;6.71;9.82
"p6";12.68;10.91;14.68
"p7";8.45;7;10.17
"p8";1.52;0.94;2.4
"p9";16.83;14.82;19.04
"p10";8.61;7.15;10.34
"p11";20.81;18.62;23.19
"p12";2.87;2.05;3.99
"p13";7.02;5.7;8.61
"p14";2.63;1.85;3.72
"p15";20.49;18.31;22.86
"p16";1.59;1;2.5
"p17";0.4;0.15;0.99
"p18";4.39;3.35;5.71
"p19";13.56;11.74;15.61
"p20";0;0;0.38
"p21";5.74;4.55;7.21
"p22";0.72;0.35;1.41
"p23";0.16;0.03;0.64
"p24";5.74;4.55;7.21
"p25";0.08;0;0.52
"p26";8.05;6.64;9.73
"p27";3.19;2.32;4.36
"p28";2.15;1.45;3.16
